year,station_id,station_name,station_lat,station_lon,station_address
2017,77,Sarandí,-34.6112703094325,-58.3948309043474,Sarandí entre Adolfo Alsina e Hipólito Yrigoyen
2017,75,Plaza Primero de Mayo,-34.6121235856114,-58.398904702934196,Pichincha entre Adolfo Alsina y Moreno
2017,152,Julieta Lanteri,-34.617485823733894,-58.359131429053605,Vera Peñalosa entre Calabria y Julieta Lanteri
2017,136,Acevedo,-34.5998125732878,-58.4429012738521,Acevedo y Padilla
2017,161,Humahuaca,-34.60205792409489,-58.4196778632351,Humahuaca 3918
2017,134,Don Bosco,-34.6118758790199,-58.4155158417582,Don Bosco y Virrey LIniers
2017,108,Usina del Arte,-34.6287807815099,-58.35625741449929,Caffarena Agustín y Don Pedro de Mendoza
2017,132,Corrientes,-34.6031208697631,-58.3736760826555,Av Corrientes y San Martín
2017,101,Fitz Roy,-34.5890491463383,-58.4424227041164,Fitz Roy 1092 y Loyola
2017,154,Gallo,-34.6002248637866,-58.41210471914761,Gallo y Tucumán
2017,164,Facultad de Ingeniería,-34.6180669522061,-58.366755289408395,Estados Unidos entre Azopardo y Huergo Av
2017,149,Lima,-34.6153639565906,-58.3814348855933,Lima y México
2017,45,Uruguay,-34.6016160280163,-58.3869126629142,Tucumán y Uruguay
2017,122,Costa Rica,-34.5916244590276,-58.4204074371223,Costa Rica 4090 y Acuña de Figueroa
2017,175,Esmeralda y Corrientes,-34.6037187781396,-58.37810663722551,Esmeralda y Av Corrientes
2017,110,Guardia Vieja,-34.6017606028946,-58.415459396243,Guardia Vieja 3606 entre Billinghurst y Mario Bravo
2017,105,15 de Noviembre,-34.6339776263697,-58.4009623109061,15 de Noviembre de 1889 2687 entre Catamarca y Jujuy
2017,100,Castillo,-34.592706718923395,-58.4367711514498,Castillo 815 entre Thames y Serrano
2017,109,Lerma,-34.5966937447772,-58.4295906822899,Lerma 185 y Julián Álvarez
2017,113,Guatemala,-34.5856694443182,-58.42520465764979,Guatemala 4799 entre J.L. Borges y Gurruchaga
2017,146,Hospital Francés,-34.6221944542981,-58.4077875519753,Hospital Francés: Carlos Calvo y La Rioja
