id,id_trip,year,id_user,origin_id,origin_date,destination_id,destination_date,distance,duration
78,,2010,,3BAEcobici,2010-12-30 15:14:00,202BAEcobici,2010-12-30 16:34:00,3.6586040276952296,4800
79,,2010,,3BAEcobici,2010-12-30 15:09:00,3BAEcobici,2010-12-30 16:00:00,0,3060
80,,2010,,202BAEcobici,2010-12-30 15:07:00,202BAEcobici,2010-12-30 16:39:00,0,5520
81,,2010,,202BAEcobici,2010-12-30 15:06:00,202BAEcobici,2010-12-30 15:41:00,0,2100
82,,2010,,2BAEcobici,2010-12-30 15:01:00,4BAEcobici,2010-12-30 15:17:00,1.177505404647519,900
83,,2010,,3BAEcobici,2010-12-30 14:58:00,2BAEcobici,2010-12-30 15:09:00,2.151658072860231,660
84,,2010,,2BAEcobici,2010-12-30 14:55:00,2BAEcobici,2010-12-30 16:09:00,0,4440
85,,2010,,3BAEcobici,2010-12-30 14:54:00,3BAEcobici,2010-12-30 15:39:00,0,2700
86,,2010,,4BAEcobici,2010-12-30 14:53:00,4BAEcobici,2010-12-30 16:14:00,0,4860
87,,2010,,4BAEcobici,2010-12-30 14:52:00,2BAEcobici,2010-12-30 15:03:00,1.177505404647519,660
88,,2010,,4BAEcobici,2010-12-30 14:51:00,2BAEcobici,2010-12-30 15:03:00,1.177505404647519,720
89,,2010,,3BAEcobici,2010-12-30 14:50:00,3BAEcobici,2010-12-30 14:53:00,0,180
90,,2010,,3BAEcobici,2010-12-30 14:49:00,3BAEcobici,2010-12-30 16:13:00,0,5040
91,,2010,,3BAEcobici,2010-12-30 14:49:00,3BAEcobici,2010-12-30 16:13:00,0,5040
92,,2010,,202BAEcobici,2010-12-30 14:47:00,2BAEcobici,2010-12-30 14:56:00,1.7455454010861773,540
93,,2010,,3BAEcobici,2010-12-30 14:44:00,3BAEcobici,2010-12-30 15:28:00,0,2640
94,,2010,,4BAEcobici,2010-12-30 14:41:00,2BAEcobici,2010-12-30 16:31:00,1.177505404647519,6600
95,,2010,,4BAEcobici,2010-12-30 14:39:00,2BAEcobici,2010-12-30 14:46:00,1.177505404647519,360
96,,2010,,4BAEcobici,2010-12-30 14:32:00,202BAEcobici,2010-12-30 15:50:00,2.8334216135349366,4620
97,,2010,,4BAEcobici,2010-12-30 14:30:00,4BAEcobici,2010-12-30 15:29:00,0,3540
98,,2010,,3BAEcobici,2010-12-30 14:30:00,3BAEcobici,2010-12-30 16:03:00,0,5640
99,,2010,,4BAEcobici,2010-12-30 14:25:00,3BAEcobici,2010-12-30 15:17:00,1.0252130332002447,3060
100,,2010,,202BAEcobici,2010-12-30 14:22:00,3BAEcobici,2010-12-30 14:47:00,3.6586040276952296,1560
101,,2010,,4BAEcobici,2010-12-30 14:19:00,2BAEcobici,2010-12-30 14:28:00,1.177505404647519,600
102,,2010,,2BAEcobici,2010-12-30 14:17:00,202BAEcobici,2010-12-30 14:23:00,1.7455454010861773,360
103,,2010,,3BAEcobici,2010-12-30 14:08:00,4BAEcobici,2010-12-30 15:58:00,1.0252130332002447,6600
104,,2010,,4BAEcobici,2010-12-30 13:58:00,202BAEcobici,2010-12-30 14:17:00,2.8334216135349366,1200
105,,2010,,4BAEcobici,2010-12-30 13:43:00,2BAEcobici,2010-12-30 13:52:00,1.177505404647519,540
106,,2010,,3BAEcobici,2010-12-30 13:41:00,3BAEcobici,2010-12-30 14:34:00,0,3180
107,,2010,,2BAEcobici,2010-12-30 13:40:00,202BAEcobici,2010-12-30 13:48:00,1.7455454010861773,480
108,,2010,,4BAEcobici,2010-12-30 13:38:00,4BAEcobici,2010-12-30 14:47:00,0,4140
109,,2010,,4BAEcobici,2010-12-30 13:31:00,2BAEcobici,2010-12-30 13:43:00,1.177505404647519,720
110,,2010,,3BAEcobici,2010-12-30 13:21:00,2BAEcobici,2010-12-30 13:40:00,2.151658072860231,1140
111,,2010,,4BAEcobici,2010-12-30 13:20:00,4BAEcobici,2010-12-30 14:49:00,0,5340
112,,2010,,4BAEcobici,2010-12-30 13:19:00,4BAEcobici,2010-12-30 14:43:00,0,5040
113,,2010,,3BAEcobici,2010-12-30 13:19:00,3BAEcobici,2010-12-30 14:10:00,0,3120
114,,2010,,3BAEcobici,2010-12-30 13:18:00,3BAEcobici,2010-12-30 13:56:00,0,2280
115,,2010,,4BAEcobici,2010-12-30 13:18:00,4BAEcobici,2010-12-30 14:50:00,0,5520
116,,2010,,3BAEcobici,2010-12-30 13:17:00,3BAEcobici,2010-12-30 13:52:00,0,2100
117,,2010,,4BAEcobici,2010-12-30 13:16:00,4BAEcobici,2010-12-30 14:47:00,0,5460
118,,2010,,3BAEcobici,2010-12-30 13:16:00,3BAEcobici,2010-12-30 13:52:00,0,2160
119,,2010,,3BAEcobici,2010-12-30 13:16:00,3BAEcobici,2010-12-30 15:13:00,0,7080
120,,2010,,4BAEcobici,2010-12-30 13:15:00,4BAEcobici,2010-12-30 14:49:00,0,5640
121,,2010,,3BAEcobici,2010-12-30 13:15:00,2BAEcobici,2010-12-30 13:31:00,2.151658072860231,960
122,,2010,,4BAEcobici,2010-12-30 13:14:00,4BAEcobici,2010-12-30 14:48:00,0,5640
123,,2010,,4BAEcobici,2010-12-30 13:13:00,4BAEcobici,2010-12-30 14:42:00,0,5340
124,,2010,,4BAEcobici,2010-12-30 13:12:00,4BAEcobici,2010-12-30 14:44:00,0,5520
125,,2010,,202BAEcobici,2010-12-30 13:11:00,4BAEcobici,2010-12-30 13:32:00,2.8334216135349366,1200
126,,2010,,3BAEcobici,2010-12-30 13:09:00,3BAEcobici,2010-12-30 14:52:00,0,6180
127,,2010,,4BAEcobici,2010-12-30 13:03:00,4BAEcobici,2010-12-30 13:47:00,0,2700
128,,2010,,3BAEcobici,2010-12-30 12:35:00,4BAEcobici,2010-12-30 12:45:00,1.0252130332002447,600
129,,2010,,3BAEcobici,2010-12-30 12:27:00,3BAEcobici,2010-12-30 14:07:00,0,6000
130,,2010,,2BAEcobici,2010-12-30 12:21:00,3BAEcobici,2010-12-30 13:55:00,2.151658072860231,5640
131,,2010,,4BAEcobici,2010-12-30 12:19:00,4BAEcobici,2010-12-30 12:58:00,0,2280
132,,2010,,2BAEcobici,2010-12-30 12:14:00,202BAEcobici,2010-12-30 12:27:00,1.7455454010861773,780
133,,2010,,3BAEcobici,2010-12-30 12:02:00,2BAEcobici,2010-12-30 12:12:00,2.151658072860231,600
134,,2010,,3BAEcobici,2010-12-30 12:02:00,2BAEcobici,2010-12-30 12:13:00,2.151658072860231,660
135,,2010,,3BAEcobici,2010-12-30 12:00:00,2BAEcobici,2010-12-30 12:17:00,2.151658072860231,960
136,,2010,,202BAEcobici,2010-12-30 11:54:00,202BAEcobici,2010-12-30 13:29:00,0,5700
137,,2010,,2BAEcobici,2010-12-30 11:52:00,4BAEcobici,2010-12-30 11:59:00,1.177505404647519,420
138,,2010,,3BAEcobici,2010-12-30 11:46:00,3BAEcobici,2010-12-30 12:29:00,0,2640
139,,2010,,3BAEcobici,2010-12-30 11:34:00,4BAEcobici,2010-12-30 13:11:00,1.0252130332002447,5760
140,,2010,,3BAEcobici,2010-12-30 11:33:00,3BAEcobici,2010-12-30 12:07:00,0,2040
141,,2010,,4BAEcobici,2010-12-30 11:32:00,4BAEcobici,2010-12-30 11:52:00,0,1200
142,,2010,,3BAEcobici,2010-12-30 11:22:00,4BAEcobici,2010-12-30 11:53:00,1.0252130332002447,1860
143,,2010,,4BAEcobici,2010-12-30 11:08:00,3BAEcobici,2010-12-30 11:57:00,1.0252130332002447,2940
144,,2010,,4BAEcobici,2010-12-30 10:56:00,202BAEcobici,2010-12-30 12:41:00,2.8334216135349366,6240
145,,2010,,4BAEcobici,2010-12-30 10:54:00,202BAEcobici,2010-12-30 12:44:00,2.8334216135349366,6600
146,,2010,,202BAEcobici,2010-12-30 10:52:00,2BAEcobici,2010-12-30 11:03:00,1.7455454010861773,660
147,,2010,,2BAEcobici,2010-12-30 10:51:00,4BAEcobici,2010-12-30 10:59:00,1.177505404647519,480
148,,2010,,202BAEcobici,2010-12-30 10:50:00,202BAEcobici,2010-12-30 10:51:00,0,60
149,,2010,,4BAEcobici,2010-12-30 10:49:00,2BAEcobici,2010-12-30 11:50:00,1.177505404647519,3660
150,,2010,,3BAEcobici,2010-12-30 10:37:00,3BAEcobici,2010-12-30 11:45:00,0,4080
151,,2010,,3BAEcobici,2010-12-30 10:34:00,3BAEcobici,2010-12-30 12:42:00,0,7680
152,,2010,,3BAEcobici,2010-12-30 10:33:00,3BAEcobici,2010-12-30 12:41:00,0,7680
153,,2010,,2BAEcobici,2010-12-30 10:26:00,3BAEcobici,2010-12-30 11:34:00,2.151658072860231,4020
154,,2010,,2BAEcobici,2010-12-30 10:26:00,3BAEcobici,2010-12-30 10:39:00,2.151658072860231,780
155,,2010,,2BAEcobici,2010-12-30 10:21:00,2BAEcobici,2010-12-30 11:18:00,0,3360
156,,2010,,3BAEcobici,2010-12-30 10:10:00,2BAEcobici,2010-12-30 11:04:00,2.151658072860231,3240
157,,2010,,2BAEcobici,2010-12-30 10:05:00,4BAEcobici,2010-12-30 11:06:00,1.177505404647519,3660
158,,2010,,2BAEcobici,2010-12-30 9:57:00,3BAEcobici,2010-12-30 10:17:00,2.151658072860231,1140
159,,2010,,2BAEcobici,2010-12-30 9:55:00,2BAEcobici,2010-12-30 11:45:00,0,6600
160,,2010,,3BAEcobici,2010-12-30 9:51:00,4BAEcobici,2010-12-30 10:51:00,1.0252130332002447,3600
161,,2010,,3BAEcobici,2010-12-30 9:42:00,202BAEcobici,2010-12-30 10:02:00,3.6586040276952296,1200
162,,2010,,2BAEcobici,2010-12-30 9:41:00,3BAEcobici,2010-12-30 9:57:00,2.151658072860231,900
163,,2010,,2BAEcobici,2010-12-30 9:41:00,3BAEcobici,2010-12-30 9:55:00,2.151658072860231,840
164,,2010,,2BAEcobici,2010-12-30 9:40:00,4BAEcobici,2010-12-30 9:47:00,1.177505404647519,420
165,,2010,,4BAEcobici,2010-12-30 9:40:00,4BAEcobici,2010-12-30 11:24:00,0,6240
166,,2010,,2BAEcobici,2010-12-30 9:39:00,3BAEcobici,2010-12-30 9:54:00,2.151658072860231,900
